D:\Code\DQN\flappyrl\agent.py:48: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda"))
[train] device=cuda  algo=baseline  n_envs=8
[train] starting — target 1000000 env-steps
step   234000 | loss 0.0016 | eps 0.050 | buf  100000 | score50   0.44 (max 3) |  514.8 st/s
step   236000 | loss 0.0016 | eps 0.050 | buf  100000 | score50   0.38 (max 3) |  515.9 st/s
step   238000 | loss 0.0279 | eps 0.050 | buf  100000 | score50   0.46 (max 3) |  517.0 st/s
step   240000 | loss 0.0019 | eps 0.050 | buf  100000 | score50   0.52 (max 3) |  517.4 st/s
step   242000 | loss 0.0022 | eps 0.050 | buf  100000 | score50   0.56 (max 3) |  518.4 st/s
step   244000 | loss 0.0036 | eps 0.050 | buf  100000 | score50   0.74 (max 5) |  519.2 st/s
step   246000 | loss 0.0027 | eps 0.050 | buf  100000 | score50   0.66 (max 5) |  519.9 st/s
step   248000 | loss 0.0024 | eps 0.050 | buf  100000 | score50   0.62 (max 5) |  520.3 st/s
step   250000 | loss 0.0017 | eps 0.050 | buf  100000 | score50   0.52 (max 5) |  520.8 st/s
  >> EVAL @ 250000: mean=25.67 max=67 (best_mean=61.80)
step   252000 | loss 0.0347 | eps 0.050 | buf  100000 | score50   0.48 (max 3) |  488.3 st/s
step   254000 | loss 0.0102 | eps 0.050 | buf  100000 | score50   0.50 (max 3) |  489.2 st/s
step   256000 | loss 0.0049 | eps 0.050 | buf  100000 | score50   0.44 (max 3) |  490.0 st/s
step   258000 | loss 0.0049 | eps 0.050 | buf  100000 | score50   0.56 (max 3) |  490.6 st/s
step   260000 | loss 0.0025 | eps 0.050 | buf  100000 | score50   0.48 (max 2) |  491.6 st/s
step   262000 | loss 0.0191 | eps 0.050 | buf  100000 | score50   0.44 (max 3) |  492.2 st/s
step   264000 | loss 0.0022 | eps 0.050 | buf  100000 | score50   0.50 (max 3) |  492.9 st/s
step   266000 | loss 0.0019 | eps 0.050 | buf  100000 | score50   0.44 (max 3) |  493.4 st/s
step   268000 | loss 0.0019 | eps 0.050 | buf  100000 | score50   0.46 (max 3) |  494.3 st/s
step   270000 | loss 0.0241 | eps 0.050 | buf  100000 | score50   0.44 (max 3) |  494.6 st/s
step   272000 | loss 0.0025 | eps 0.050 | buf  100000 | score50   0.46 (max 3) |  495.4 st/s
step   274000 | loss 0.0022 | eps 0.050 | buf  100000 | score50   0.60 (max 3) |  496.0 st/s
  >> EVAL @ 275000: mean=16.00 max=35 (best_mean=61.80)
step   276000 | loss 0.0397 | eps 0.050 | buf  100000 | score50   0.46 (max 3) |  473.9 st/s
step   278000 | loss 0.0011 | eps 0.050 | buf  100000 | score50   0.32 (max 2) |  475.0 st/s
step   280000 | loss 0.0018 | eps 0.050 | buf  100000 | score50   0.38 (max 2) |  475.6 st/s
step   282000 | loss 0.0239 | eps 0.050 | buf  100000 | score50   0.38 (max 2) |  476.4 st/s
step   284000 | loss 0.0030 | eps 0.050 | buf  100000 | score50   0.42 (max 2) |  477.4 st/s
step   286000 | loss 0.0033 | eps 0.050 | buf  100000 | score50   0.54 (max 3) |  478.2 st/s
step   288000 | loss 0.0026 | eps 0.050 | buf  100000 | score50   0.38 (max 3) |  478.8 st/s
step   290000 | loss 0.0037 | eps 0.050 | buf  100000 | score50   0.46 (max 3) |  479.7 st/s
step   292000 | loss 0.0030 | eps 0.050 | buf  100000 | score50   0.48 (max 7) |  480.7 st/s
step   294000 | loss 0.0104 | eps 0.050 | buf  100000 | score50   0.44 (max 7) |  481.8 st/s
step   296000 | loss 0.0090 | eps 0.050 | buf  100000 | score50   0.66 (max 7) |  482.4 st/s
step   298000 | loss 0.0049 | eps 0.050 | buf  100000 | score50   0.64 (max 7) |  483.4 st/s
step   300000 | loss 0.0018 | eps 0.050 | buf  100000 | score50   0.50 (max 4) |  484.3 st/s
  >> EVAL @ 300000: mean=4.75 max=18 (best_mean=61.80)
